GeneVirulence	ID_Protein	Locus_tag	Type	Organism	Disease
Q876Z6_FUSOX	XP_011390017.1	UMAG_03588	Virulence	FUSOX	Blights, wilts, rots of various sorts
Q8TGD1_FUSOX	XP_011391500.1	UMAG_05766	Virulence	FUSOX	Blights, wilts, rots of various sorts
O59900_CRYNE	XP_011389265.1	UMAG_02819	Virulence	CRYNE	Cryptococcosis
Q6TDT0_CRYGA	XP_011388737.1	UMAG_02453	Virulence	CRYGA	Cryptococcosis
Q8NJN5_CRYNE	XP_011392383.1	UMAG_06003	Virulence	CRYNE	Cryptococcosis
Q8NKF8_CRYNV	XP_011386425.1	UMAG_00602	Virulence	CRYNV	Cryptococcosis
Q9P8W9_CRYNE	XP_011390188.1	UMAG_03726	Virulence	CRYNE	Cryptococcosis
ARGJ_AJECN	XP_011389190.1	UMAG_10308	Virulence	AJECN	Darling's Disease
A9Z1V6_PHAND	XP_011391856.1	UMAG_05544	Virulence	PHAND	Glume blotch of wheat and other grasses
Q00LS5_PHAND	XP_011392393.1	UMAG_06019	Virulence	PHAND	Glume blotch of wheat and other grasses
Q5J4D6_PHAND	XP_011389866.1	UMAG_15004	Virulence	PHAND	Glume blotch of wheat and other grasses
HOG1_CRYPA	XP_011388664.1	UMAG_02357	Virulence	CRYPA	Grey mould. Parasite or saprophyte
Q2LK92_BOTFU	XP_011390536.1	UMAG_11054	Virulence	BOTFU	Grey mould. Parasite or saprophyte
Q4WXC5_ASPFU	XP_011389807.1	UMAG_10656	Virulence	ASPFU	Infection
Q50I20_ASPFM	XP_011387619.1	UMAG_01627	Virulence	ASPFM	Infection
BUR1_CANAL	XP_011391261.1	UMAG_04950	Virulence	CANAL	Invasive candidal disease
PALA_CANAL	XP_011390552.1	UMAG_11510	Virulence	CANAL	Invasive candidal disease
Q59LF3_CANAL	XP_011387714.1	UMAG_01748	Virulence	CANAL	Invasive candidal disease
Q59PH2_CANAL	XP_011387395.1	UMAG_11272	Virulence	CANAL	Invasive candidal disease
Q59RQ6_CANAL	XP_011388744.1	UMAG_02461	Virulence	CANAL	Invasive candidal disease
Q59SD1_CANAL	XP_011391739.1	UMAG_10687	Virulence	CANAL	Invasive candidal disease
Q59SI6_CANAL	XP_011386063.1	UMAG_00099	Virulence	CANAL	Invasive candidal disease
Q59WH0_CANAL	XP_011388252.1	UMAG_05213	Virulence	CANAL	Invasive candidal disease
Q59X23_CANAL	XP_011392118.1	UMAG_05433	Virulence	CANAL	Invasive candidal disease
Q5A415_CANAL	XP_011392097.1	UMAG_05405	Virulence	CANAL	Invasive candidal disease
Q5A8L5_CANAL	XP_011388715.1	UMAG_02425	Virulence	CANAL	Invasive candidal disease
